url,label
http://198.51.100.25/google/confirm?session=938274,1
https://microsoft.com/blog/security,0
http://192.0.2.10/bank/secure?session=938274,1
https://example.com/docs,0
http://outlook-verify-security.invalid/verification,1
http://apple-update-security.test/update,1
https://google.com/search?q=cybersecurity,0
http://google-billing.invalid/%2Flogin%3Faccount,1
https://google.com/help,0
https://wikipedia.org/docs,0
https://apple.com,0
http://bank-security-alert.test/unlock/password/confirm?user=123456,1
https://microsoft.com/docs,0
http://apple.login.confirm.account.test/signin,1
https://github.com,0
http://203.0.113.50/microsoft/login?session=938274,1
https://xn--bank-verify-9za.invalid/billing,1
https://google.com/docs,0
https://xn--bank-verification-9za.invalid/unlock,1
http://192.0.2.10/apple/secure?session=938274,1
https://google.com/products?category=software,0
https://stackoverflow.com/support/contact,0
http://bank.secure.secure.account.invalid/signin,1
https://xn--apple-verify-9za.invalid/confirm,1
https://wikipedia.org/blog/security,0
https://xn--apple-password-9za.example/password,1
http://amazon.verify.password.account.invalid/signin,1
https://google.com/products?category=software,0
http://google-security-alert.test/login/password/confirm?user=123456,1
http://microsoft-password.invalid/%2Fverification%3Faccount,1
https://apple.com/account/settings,0
https://apple.com,0
https://github.com/,0
https://cloudflare.com/about,0
https://cloudflare.com/blog/security,0
http://amazon-confirm.test/%2Flogin%3Faccount,1
http://amazon.confirm.password.account.invalid/signin,1
http://outlook-update-security.test/login,1
https://microsoft.com/help,0
http://office365-account.invalid/%2Fsecure%3Faccount,1
http://microsoft-security-alert.test/login/password/confirm?user=123456,1
https://microsoft.com/support/contact,0
https://example.com,0
https://xn--google-secure-9za.example/password,1
https://microsoft.com,0
http://microsoft-confirm-security.example/billing,1
https://github.com/blog/security,0
http://bank.verification.account.example/login,1
http://192.0.2.10/microsoft/unlock?session=938274,1
http://bank-security-alert.test/billing/password/confirm?user=123456,1
https://cloudflare.com/help,0
https://cloudflare.com/products?category=software,0
http://google-security-alert.test/confirm/password/confirm?user=123456,1
https://python.org/support/contact,0
http://google-login.invalid/%2Fupdate%3Faccount,1
http://192.0.2.10/outlook/password?session=938274,1
http://apple-security-alert.invalid/verification/password/confirm?user=123456,1
https://wikipedia.org/support/contact,0
http://office365-verify.test/%2Fsecure%3Faccount,1
https://stackoverflow.com/search?q=cybersecurity,0
http://192.0.2.175/microsoft/password?session=938274,1
https://apple.com/,0
https://xn--apple-update-9za.test/account,1
http://paypal.unlock.confirm.account.example/signin,1
http://bank-security-alert.test/login/password/confirm?user=123456,1
https://github.com/account/settings,0
http://apple.account.account.invalid/login,1
https://stackoverflow.com/search?q=cybersecurity,0
http://microsoft.update.account.test/login,1
https://example.com/,0
https://github.com,0
https://amazon.com/help,0
https://github.com/account/settings,0
http://office365.account.account.example/login,1
http://google.billing.verify.account.invalid/signin,1
http://amazon-security-alert.test/verification/password/confirm?user=123456,1
http://microsoft-update.test/%2Fbilling%3Faccount,1
http://outlook-login.invalid/%2Fsecure%3Faccount,1
https://google.com/about,0
http://203.0.113.50/paypal/secure?session=938274,1
https://apple.com/,0
https://xn--bank-billing-9za.example/account,1
http://office365.update.account.test/login,1
